2024-08-25 17:11:32,430 INFO    StreamThr :43025 [internal.py:wandb_internal():86] W&B internal server running at pid: 43025, started at: 2024-08-25 17:11:32.430058
2024-08-25 17:11:32,431 DEBUG   HandlerThread:43025 [handler.py:handle_request():146] handle_request: status
2024-08-25 17:11:32,434 INFO    WriterThread:43025 [datastore.py:open_for_write():87] open: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/segregate/wandb/run-20240825_171132-72lrhbe1/run-72lrhbe1.wandb
2024-08-25 17:11:32,434 DEBUG   SenderThread:43025 [sender.py:send():378] send: header
2024-08-25 17:11:32,456 DEBUG   SenderThread:43025 [sender.py:send():378] send: run
2024-08-25 17:11:32,939 INFO    SenderThread:43025 [dir_watcher.py:__init__():211] watching files in: /Users/f81658c/Documents/Git repo/ML-DevOps-Engineer/nd0821-c2-build-model-workflow-exercises/lesson-5-final-pipeline-release-and-deploy/exercises/exercise_14/starter/segregate/wandb/run-20240825_171132-72lrhbe1/files
2024-08-25 17:11:32,939 INFO    SenderThread:43025 [sender.py:_start_run_threads():1099] run started: 72lrhbe1 with start time 1724598692.430425
2024-08-25 17:11:32,946 DEBUG   HandlerThread:43025 [handler.py:handle_request():146] handle_request: check_version
2024-08-25 17:11:32,946 DEBUG   SenderThread:43025 [sender.py:send_request():405] send_request: check_version
2024-08-25 17:11:33,009 DEBUG   HandlerThread:43025 [handler.py:handle_request():146] handle_request: run_start
2024-08-25 17:11:33,015 DEBUG   HandlerThread:43025 [system_info.py:__init__():26] System info init
2024-08-25 17:11:33,015 DEBUG   HandlerThread:43025 [system_info.py:__init__():41] System info init done
2024-08-25 17:11:33,015 INFO    HandlerThread:43025 [system_monitor.py:start():194] Starting system monitor
2024-08-25 17:11:33,015 INFO    SystemMonitor:43025 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-25 17:11:33,015 INFO    HandlerThread:43025 [system_monitor.py:probe():214] Collecting system info
2024-08-25 17:11:33,016 DEBUG   HandlerThread:43025 [system_info.py:probe():150] Probing system
2024-08-25 17:11:33,016 INFO    SystemMonitor:43025 [interfaces.py:start():190] Started cpu monitoring
2024-08-25 17:11:33,016 INFO    SystemMonitor:43025 [interfaces.py:start():190] Started disk monitoring
2024-08-25 17:11:33,019 INFO    SystemMonitor:43025 [interfaces.py:start():190] Started gpuapple monitoring
2024-08-25 17:11:33,020 INFO    SystemMonitor:43025 [interfaces.py:start():190] Started memory monitoring
2024-08-25 17:11:33,022 INFO    SystemMonitor:43025 [interfaces.py:start():190] Started network monitoring
2024-08-25 17:11:33,023 DEBUG   HandlerThread:43025 [system_info.py:_probe_git():135] Probing git
2024-08-25 17:11:33,048 DEBUG   HandlerThread:43025 [system_info.py:_probe_git():143] Probing git done
2024-08-25 17:11:33,048 DEBUG   HandlerThread:43025 [system_info.py:probe():198] Probing system done
